1929 or 1989?	1929年还是1989年?
First, and perhaps above all, the revolutions of 1989 and the subsequent collapse of the Soviet Union put an end to global bipolarity.	首先，也许是最重要的，1989年的革命和随后的苏联解体结束了全球的两极化。
By contrast, 2009 is likely to pave the way to a new form of bipolarity, but with China substituting for the Soviet Union.	与此相反，2009年很可能会为一种新的两极化形式铺平道路，只是中国取代了苏联。
Second, whereas democracy and market capitalism appeared as clear – if more fragile than expected – winners in 1989, it is difficult in 2009, with the spread of the global crisis, to distinguish winners from losers.	其二，民主制度和市场资本主义，或许要比预期的要脆弱些，看来确实是当时的赢家。
Everyone seems to be a loser, even if some are more affected than others.	而在2009年，随着全球危机的蔓延，却很难区分赢家和输家；每个人似乎都是输家，即使有些国家比其它国家受到的影响更大。
Yet, history is unfair, and the US, despite its greater responsibility for today’s global crisis, may emerge in better shape than most countries from the morass.	而历史是不公平的。 尽管美国要为当今的全球危机负更大的责任，但美国可能会比大多数国家以更良好的势态走出困境。
In better shape, but not alone.	美国会恢复得更好，但并不是唯一能恢复的国家。
As a visiting professor at Harvard and MIT, I am getting a good preview of what the world could look like when the crisis finally passes.	作为哈佛大学和麻省理工学院的访问教授，我能看到危机过后的世界是什么样子的。
One senses something like the making of an American-Asian dominated universe.	我们能感受到一个美国和亚洲占主导地位的世界正在形成。
From the incredible media lab at MIT to the mathematics and economics departments at Harvard, Asians – Chinese and Indians, in particular – are everywhere, like the Romans in Athens in the first century BC: full of admiration for those from whom they were learning so much, and whom they would overcome in the coming decades.	从一流的麻省理工学院的媒体实验室到哈佛大学的数学和经济系，亚洲人-尤其是中国和印度人-到处都是，犹如公元前一世纪在雅典的罗马人一样：他们对那里学到太多东西的人们充满了敬佩，而他们将在今后几十年打败他们学习的对象。
But before this new order appears, the world may be faced with spreading disorder, if not outright chaos.	但是，在这一新秩序的出现之前，世界可能会面临更广泛的混沌，如果不是彻底的混乱的话。
What, for example, will happen to a country as central and vulnerable as Egypt when hundred of thousands of Egyptians working in the Gulf are forced to return to their homeland as a result of the crisis in the oil-producing countries?	例如，对埃及这样一个重要而又脆弱的国家，有数十万的埃及人曾在海湾工作但现在因石油生产国出现的危机而被迫返回了自己的家园，那埃及会发生什么情况呢？
When the rich get less rich, the poor get poorer.	当富人不再那么富了，穷人就会更穷。
And what about the foreign workers who have reached for the “European dream” and are now faced with potential explosions of xenophobia in Europe’s supposedly open countries?	还有，对于那些追求“欧洲梦”的外来工人，现在他们面临着理应是开放的欧洲国家的仇外心态可能的爆发，他们会有怎样的遭遇？
The consequences of 1989 ended up being less enduring than many observers, including me, would have assumed.	1989年革命所带来的成果，最后没有包括我在内许多观察家所想象的那么持久。
We can only hope that, in the end, the consequences of 2009 similarly prove to be far less dramatic than we now – intuitively and in our historical reflexes – feel them to be.	我们只能希望2009年的危机同样地最后被证明是远远低于我们现在以直觉和历史回顾的方式��感觉到的那么剧烈。
One Hundred Years of Ineptitude	百年愚顽
BERLIN – The global financial and economic crisis that began in 2008 was the greatest economic stress-test since the Great Depression, and the greatest challenge to social and political systems since World War II.	柏林 — — 2008年爆发的全球金融和经济危机是自大萧条以来最严峻的一次经济压力测试，也是自二战以来社会和政治制度所面临的最严重挑战。
It not only put financial markets and currencies at risk; it also exposed serious regulatory and governance shortcomings that have yet to be fully addressed.	它不仅对金融市场和货币构成威胁；而且还暴露了迄今为止都无法完全解决的严重的监管和治理缺陷。
In fact, the 2008 crisis will most likely be remembered as a watershed moment, but not because it led to reforms that strengthened economic resilience and removed vulnerabilities.	事实上，2008年危机极有可能被视为一座分水岭，但却并非因为它导致了强化经济弹性和消除经济弱点的改革而永久留在人们的记忆当中。
On the contrary, leaders’ failure to discern, much less act on, the lessons of the Great Recession may open the way for a series of fresh crises, economic and otherwise, in the coming decades.	相反，领导人未能汲取大萧条的教训，更不用说为此采取相应的预防对策可能引发未来几十年一系列新的经济和其他危机。
However serious those crises turn out to be, historians a century from now will likely despair at our shortsightedness.	无论这些危机有多严重，一个世纪后的历史学家都极有可能绝望于我们的短视。
They will note that analysts and regulators were narrowly focused on fixing the financial system by strengthening national oversight regimes.	他们将会看到，分析人士和监管机构通过强化国家监管机制，仅仅是狭隘地专注于修复金融体系。
While this was a worthy goal, historians will point out, it was far from the only imperative.	尽管这一目标并非全无价值，但就像历史学家们所指出的那样，这绝不是唯一一件必须要做的事。
To prepare the world to confront the challenges posed by globalization and technological development in a way that supports sustainable and equitable growth, governance institutions and regulations at both the national and international levels must be drastically improved.	为使世界能够以确保可持续及平衡增长的方式来应对全球化和技术进步所带来的挑战，就必须对国内和国际两级治理机构和制度进行大规模升级。
Yet not nearly enough has been invested in this effort.	但目前这方面的投入还远远不够。
Beyond regional bodies like the European Union, international financial governance has remained largely untouched.	除欧盟等地区机构外，国际金融治理机构基本仍未受到波及。
Worse, because the partial fixes to the financial system will enable even more globalization, they will end up making matters worse, as strain on already-inadequate governance and regulatory frameworks increases, not only in finance, but also in other economic and technological fields.	更糟的是，因为部分修复金融体系将会带来进一步全球化，这些举措最终会恶化现有问题，因为此举不仅在金融、而且在其他经济和技术领域增加了对本已欠缺的治理和监管框架的压力。
Meanwhile, enormous financial investments focused on securing a higher rate of return are likely to fuel technological innovation, further stressing regulatory systems in finance and beyond.	此外，专注于提高回报率的巨额金融投资很有可能会推动技术创新，并由此进一步加大对金融和其他监管体系所造成的压力。
Major technological advances fueled by cheap money can cause markets to change so fast that policy and institutional change cannot keep up.	廉价资金推动的重大技术创新可以令市场变化速度快到政策和机构变化均无法适应。
And new markets can emerge that offer huge payoffs for early adopters or investors, who benefit from remaining several steps ahead of national and international regulators.	同时新市场的出现可以为早期进入者或投资者带来巨大的回报，并使他们可以持续受益于相对国内及国际监管机构的领先。
This is what happened in the run-up to the 2008 crisis.	这恰恰符合2008年危机爆发之前的情况。
New technology-enabled financial instruments created opportunities for some to make huge amounts of money.	新技术支持的金融工具为某些人赚取巨额利润创造了机遇。
But regulators were unable to keep up with the innovations, which ended up generating risks that affected the entire economy.	但监管机构却无法跟上创新的步伐，并最终酿成了影响整体经济的风险。
This points to a fundamental difference between global crises of the twenty-first century and, say, the Great Depression in the 1930s or, indeed, any past stock-market crashes.	这体现出21世纪的全球危机与20世纪30年代大萧条或过去任何一次股市崩盘之间的根本区别。
Because of the financial sector’s growth, more actors benefit from under-regulation and weak governance in the short term, making today’s crises more difficult to prevent.	金融行业持续增长导致更多参与主体从短期监管不足和治理薄弱中获益，从而使人们更加难以预防现在的危机。
Complicating matters further, the systems affected by today’s crises extend well beyond any one regulatory body’s jurisdiction.	令问题更加复杂的是，受当前危机影响的系统远远超过任何一个监管机构的监管范围。
That makes crises far unrulier, and their consequences – including their long-term influence on societies and politics – more difficult to predict.	这导致危机变得更加凶险，并导致人们更加难以对危机所产生后果 — — 包括社会和政治领域的长期后果 — — 进行预判。
The next crises – made more likely by rising nationalism and a growing disregard for science and fact-based policymaking – may be financial, but they could also implicate realms as varied as migration, trade, cyberspace, pollution, and climate change.	下一次危机 — — 因为民族主义情绪抬头和人们越来越无视基于科学和事实的决策而变得可能性愈来愈大 — — 可能涉及金融，但也可能涉及移民、贸易、网络空间、污染和气候变化等诸多领域。
In all of these areas, national and international governance institutions are weak or incomplete, and there are few independent actors, such as watchdog groups, demanding transparency and accountability.	在上述所有领域，国内和国际治理机构都力量薄弱或覆盖不完善，而且严重缺乏要求透明度和问责制的监督组织等独立行动主体。
This makes it harder not only to prevent crises – not least because it creates opportunities for actors to game the system and shirk responsibility – but also to respond to them.	这不仅加大了预防危机的难度 — — 尤其因为它为参与者提供了钻空子和逃避责任的机会 — — 还使得人们越来越难以采取措施来应对危机。
The 2008 crisis cast a harsh spotlight on just how bad we are at responding quickly to disasters, especially those fueled by fragmented governance.	2008年危机暴露出我们在面对灾难时的快速反应有多么薄弱，尤其当造成灾难的主要原因是分散治理。
To be sure, as the Hertie School’s 2018 Governance Report shows, there have been some improvements in preparing for and managing crises.	可以肯定，就像2018年赫蒂学院治理报告所表明的那样，人类在准备应对和管理危机方面取得了一定的进展。
But we must become more alert to how developments in a wide range of fields – from finance to digital technologies and climate change – can elude the governance capacities of national and international institutions.	但我们必须警惕更广泛领域的发展 — — 从金融到数字技术再到气候变化 — — 是以何种方式来规避国内和国际机构的治理监管。
We should be running crisis scenarios and preparing emergency plans for upheaval in all of these fields, and taking stronger steps to mitigate risks, including by managing debt levels, which today remain much higher in the advanced economies than they were before the 2008 crisis.	我们应当在上述所有领域进行危机情景预演并制定危机爆发之际的紧急计划，同时采取包括管理债务水平等更强有力的措施来降低风险，今天发达经济体的债务水平均远高于2008年危机爆发之前。
Moreover, we should ensure that we provide international institutions with the needed resources and responsibilities.	此外，我们应当确保赋予国际机构必要的监管责任和资源。
And by punishing those who exacerbate risks for the sake of their own interests, we would strengthen the legitimacy of global governance and the institutions that are meant to conduct it.	通过对那些因为自身利益而加剧风险的人进行惩戒，我们可以强化全球治理及其责任落实机构的合法地位。
As it stands, inadequate cross-border coordination and enforcement of international agreements is a major impediment to crisis prevention and management.	目前，跨境协调和国际协定落实不充分是危机预防和管理的主要障碍。
Yet, far from addressing this weakness, the world is reviving an outdated model of national sovereignty that makes crises of various kinds more likely.	但世界各国正在重新兴起过时的国家主权模式不但没有解决这个问题，而且增大了各种危机的爆发风险。
Unless we change course soon, the world of 2118 will have much reason to regard us with scorn.	除非我们尽快改变方向，否则2118年的世界将有足够的理由来鄙视我们。
What Failed in 2008?	2008年败在何处？
BERKELEY – To solve a problem, it is not enough to know what to do.	伯克利—要解决问题，光知道做什么是不够的。
You actually have to implement the solution – and be willing to change course if it turns out that you did not know quite as much as you thought.	你实际上必须实施解决办法 — — 并且在事实证明你知道的并不如你认为的那样多时，你得愿意改变办法。
That is the message of two recent books that, together, tell you everything you need to know about the 2008 financial crisis: what caused it, what can be done to prevent it from recurring, and why those things have yet to be done.	这就是两本新书一起告诉你的信息。 这两本新书讲述了你需要知道的关于2008年金融危机的一切：什么引起了金融危机，可以做什么防止它再次发生，以及为何这些事情还没有人去做。
The first book is The Shifts and the Shocks, by the conservative British journalist Martin Wolf, who begins by cataloguing the major shifts that set the stage for the economic disaster that continues to shape the world today.	第一本书是《变化和冲击 》 （ The Shifts and the Shocks ） ， 作者是保守派英国记者马丁·沃尔夫（Martin Wolf ） 。 在书的开头，他对酝酿了至今仍在影响世界的这场经济灾难的重要变化做了归纳编目。
His starting point is the huge rise in wealth among the world’s richest 0.1% and 0.01% and the consequent pressure for people, governments, and companies to take on increasingly unsustainable levels of debt.	首先，他指出世界最富有的0.1%和0.01%人群财富剧增，这给人民、政府和公司造成了日益不可持续的高负债的压力。
Meanwhile, policymakers were lulled into complacency by the widespread acceptance of economic theories such as the “efficient-market hypothesis,” which assumes that investors act rationally and use all available information when making their decisions.	与此同时，决策者因为“有效市场假说”等经济理论的广泛接受而志得意满，有效市场假说认为投资者的行为是理性的，在作出决策时会利用一切可获得的信心。
As a result, markets were deregulated, making it easier to trade assets that were perceived to be safe, but were in fact not.	结果，市场监管被放松，交易被认为安全但实际并不安全的资产变得更加容易。
As a result, systemic risk proliferated beyond central bankers’ wildest imagination.	结果，系统性风险悄然酝酿，并且超过了央行官员最大胆的想象。
Untested – and ultimately incorrect – assumptions created a policymaking environment defined by what can only be called hubris.	未受检验并且最终错误的假设形成了一个只能用狂妄自大形容的决策环境。
Officials underestimated tail risks.	官员低估了尾部风险。
They set inflation targets at around 2% – leaving little room for maneuver when the water got choppy.	它们将通胀目标设定在2%左右 — — 这意味着当波涛汹涌时他们根本没有多少施展空间。
And, most audaciously of all, the European Union introduced the euro as a common currency.	此外，最大胆的动作要数欧盟引入欧元作为共同货币。
Indeed, wrongheaded policymaking continued long after the crisis began.	事实上，方向错误的决策在危机开始后仍然能维持了很长时间。
Politicians responded to worsening economic conditions by hewing as closely as possible to failed prescriptions, making sure to do no more than absolutely necessary to address the biggest economic disaster since the Great Depression.	政客对恶化的经济条件的反应是坚定实施错误的药方，对于这场大萧条以来最严重的经济灾难，他们除了绝对需要做的事情意外什么都不做。
Wolf’s prescription for countering the crisis is simple, smart, and unassailable.	沃尔夫给抵御这场危机开出的药方简单、明智并且无懈可击。
In the short term, he suggests that countries with reserve currencies spend more (especially to finance public-sector investments) and issue more debt.	在短期，他建议拥有储备货币的国家增加支出（特别是公共部门投资融资 ） 、 发行更多债务。
Their central banks, he argues, should raise inflation targets to 3% or even 4% per year.	他指出，这些国家的央行应该将通胀目标提高到每年3%甚至4 % 。
Over the medium term, according to Wolf, countries need to put in place regulatory measures that lower debt levels and discourage overleveraging.	在中期，沃尔夫认为各国需要实施监管措施降低债务水平、阻止过度举债。
The eurozone, too, must resolve its internal contradictions, either by disbanding or by introducing “a minimum set of institutions and policies” that allow the monetary union to function properly.	欧元区也必须解决其内部矛盾，要么通过解散欧元区实现，要么通过引入能令货币联盟正常运行的“最小限度的机构和政策组合”实现。
Wolf’s long-term solutions include tackling inequality, “more global regulation,” a greater degree of “freedom for individual countries to craft their own responses,” and economic analysis that is less in thrall to the free-market ideologues that led us into the crisis in the first place.	沃尔夫的长期解决方案包括遏制不平等 、 “ 更加全球化的监管 ” 、 更大程度的“个体国家自己决定反应方式的自由”以及更少受到自由市场思想束缚的经济分析。 一开始正是自由市场思想让我们陷入了危机。
And yet, as recommendable as Wolf’s proposals may be, little has been done to implement them.	但是，尽管沃尔夫的方案值得推荐，但几乎没有任何实施。
The reasons why are found in the second book: Hall of Mirrors, by my friend, teacher, and patron, Barry Eichengreen.	原因可以从第二本书中找到：由我的朋友、老师和“老板”巴里·艾肯格林（Barry Eichengreen）所著的《镜厅 》 （ Hall of Mirrors ） 。
Eichengreen traces our tepid response to the crisis to the triumph of monetarist economists, the disciples of Milton Friedman, over their Keynesian and Minskyite peers – at least when it comes to interpretations of the causes and consequences of the Great Depression.	艾肯格林认为，我们对这场危机反应不温不火，原因要追溯到作为弗里德曼（MiltonFriedman）门徒的���币经济学家对凯恩斯主义和明斯基（MInskyite）主义同行的胜利 — — 至少在解释大萧条的原因和后果方面是如此。
When the 2008 financial crisis erupted, policymakers tried to apply Friedman’s proposed solutions to the Great Depression.	2008年金融危机爆发时，决策者试图使用弗里德曼提出的大萧条方案。
Unfortunately, this turned out to be the wrong thing to do, as the monetarist interpretation of the Great Depression was, to put it bluntly, wrong in significant respects and radically incomplete.	不幸的是，事实证明这是错的，直言不讳地说，货币主义者对大萧条的解释在众多方面都是错误的，并且非常不完整。
The resulting policies were enough to prevent the post-2008 recession from developing into a full-blown depression; but that partial success turned out to be a Pyrrhic victory, for it allowed politicians to declare that the crisis had been overcome, and that it was time to embrace austerity and focus on structural reform.	由此产生的政策足以阻止2008年后的衰退演变为完全的萧条；但这一局部成功的代价也是巨大的，它让政客宣布危机已经被克服，应该采取紧缩并专注于结构改革。
The result is today’s stagnant economy, marked by anemic growth that threatens to become the new normal.	结果就是现在的经济停滞，其特征是增长无力并且随时可能成为新常态。
The United States and Europe are on track to have thrown away 10% of their potential wealth, while the failure to strengthen financial-sector regulation has left the world economy exposed to the risk of another major crisis.	美国和欧洲损失了10%的潜在财富，而没有强化金融部门监管让世界经济随时可能迎来新一场大危机。
Wolf and Eichengreen would agree that the main shortcomings that led to the 2008 financial crisis – and that continue to underpin our inadequate response to it – are intellectual.	沃尔夫和艾肯格林会认为，导致2008年金融危机的主要缺陷 — — 以及继续破坏我们对危机的不充分反应的主要缺陷 — — 是知识缺陷。
Indeed, the only true lesson of the crisis so far seems to be that its lessons will never truly be learned.	事实上，到目前为止，危机的唯一真正教训是它的教训从未被真正汲取。
A Comeback Strategy for Europe	欧洲的重振战略
STOCKHOLM/MADRID – When Pope Francis addressed the European Parliament last November, he compared the European Union to a grandmother – pleasant and rich with experience, but lacking the vitality and energy of the past.	斯托克霍姆/马德里—去年11月，教皇方济各在其欧洲议会演讲中将欧盟比作祖母 — — 和蔼而富于经验，但已不再有过去的活力和能量。
It is high time, Francis argued, that EU leaders shed their dozy image, recognize the strategic challenges that Europe faces, and forge a clear policy for tackling them.	方济各说，现在是一个关键时刻，欧盟领导人必须摆脱懈怠形象，承认欧洲所面临的战略挑战，并构建应对挑战的明确政策。
Admittedly, the pope’s characterization was alarmingly accurate in some respects.	诚然，教皇的描述在某些角度讲非常准确。
But, despite its seeming lassitude, Europe retains significant strengths.	但是，尽管欧洲看起来疲态尽露，但仍拥有巨大优势。
